relation_id,subject,predicate,object,hub_entity,hub_connectivity,confidence,section,source_paper,source_text,llama3.2_3b_text_accuracy,llama3.2_3b_text_faithfulness,llama3.2_3b_text_boundary_quality,llama3.2_3b_text_justification,llama3.2_3b_text_inference_time,llama3.2_3b_text_error,mistral_7b_text_accuracy,mistral_7b_text_faithfulness,mistral_7b_text_boundary_quality,mistral_7b_text_justification,mistral_7b_text_inference_time,mistral_7b_text_error,llama3.1_8b_text_accuracy,llama3.1_8b_text_faithfulness,llama3.1_8b_text_boundary_quality,llama3.1_8b_text_justification,llama3.1_8b_text_inference_time,llama3.1_8b_text_error
0x2e,Methane,has,28 -34 times higher global warming potential over a period of 100 years than that of CO2,Methane,20,,1. Introduction,Copy of A. Priyadarsini et al. 202320251115.pdf,"Methane  is  the  smallest  of  the  hydrocarbon  family  in  its  most reduced form, which means it is packed with potential energy. Thus, even with a shorter lifespan, methane has 28 -34 times higher global warming potential over a period of 100 years than that of CO2  due to its higher solar  radiation  capturing  efficiency  (Priyadarsini  et  al.,  2020).",,,,,5.655602931976318,,True,5.0,5.0,"The relation ""Methane has 28 -34 times higher global warming potential over a period of 100 years than that of CO2"" is directly stated in the sentence. The subject and object boundaries are correctly identified as well, with ""Methane"" being the subject and ""28 -34 times higher global warming potential over a period of 100 years than that of CO2"" being the object.",8.926769018173218,,,,,,13.544745922088623,
0x21,Methanotrophs,are involved in,Gas-to-liquid Methanol,Methanotrophs,15,,A R T I C L E  I N F O,Copy of A. Priyadarsini et al. 202320251115.pdf,Keywords: Methanotrophs Gas-to-liquid Methanol Microbial consortium Methane monooxygenase Gene detection,,,,,3.879995822906494,,True,5.0,5.0,"The relation ""Methanotrophs are involved in Gas-to-liquid Methanol"" is directly stated in the sentence, as it mentions a microbial consortium (which includes Methanotrophs) and Gas-to-liquid Methanol. The subject and object boundaries are correctly identified, as they correspond to the entities mentioned in the sentence.",6.240010976791382,,,,,,5.427953720092773,
0x637,Patel,is author of,"Patel, S.K.S., Gupta, R.K., Kalia, V.C., Lee, J.K., 2021. Integrating anaerobic digestion of potato peels to methanol production by methanotrophs immobilized on banana leaves.",Patel,32,,Cross-chunk Analysis,Copy of A. Priyadarsini et al. 202320251115.pdf,"Patel, S.K.S., Gupta, R.K., Kalia, V.C., Lee, J.K., 2021. Patel, S.K.S., Kalia, V.C., Lee, J.K., 2023.",,,,,3.061729669570923,,False,,,"The relation ""is author of"" is not accurately represented in the sentence as it does not provide any information about authorship. Instead, it seems to be a typo or incorrect citation format. The original paper's authors are listed correctly, but there is no indication that Patel is an author of another work in this sentence.",5.520071029663086,,,,,,4.835727214813232,
0x61a,Patel,is author of,"Patel, S.K.S., Singh, R.K., Kumar, A., Jeong, J.H., Jeong, S.H., Kalia, V.C., Kim, I.W., Lee, J.K., 2017",Patel,32,,Cross-chunk Analysis,Copy of A. Priyadarsini et al. 202320251115.pdf,"Patel, S.K.S., Jeong, J.H., Mehariya, S., Otari, S.V., Madan, B., Haw, J.R., Lee, J.K., Zhang, L., Kim, I.W., 2016a. Patel, S.K.S., Mardina, P., Kim, D., Kim, S.Y., Kalia, V.C., Kim, I.W., Lee, J.K., 2016b. Patel, S.K.S., Mardina, P., Kim, S.Y., Lee, J.K., Kim, I.W., 2016c. Patel, S.K.S., Singh, R.K., Kumar, A., Jeong, J.H., Jeong, S.H., Kalia, V.C., Kim, I.W., Lee, J.K., 2017. Patel, S.K.S., Kondaveeti, S., Otari, S.V., Pagolu, R.T., Jeong, S.H., Kim, S.C., Cho, B.K., Kang, Y.C., Lee, J.K., 2018a. Patel, S.K.S., Kumar, V., Mardina, P., Li, J., Lestari, R., Kalia, V.C., Lee, J.K., 2018b. Patel, S.K.S., Jeon, M.S., Gupta, R.K., Jeon, Y., Kalia, V.C., Kim, S.C., Cho, B.K., Kim, D. R., Lee, J.K., 2019. Patel, S.K.S., Gupta, R.K., Kondaveeti, S., Otari, S.V., Kumar, A., Kalia, V.C., Lee, J.K., 2020a. Patel, S.K.S., Gupta, R.K., Kumar, V., Kondaveeti, S., Kumar, A., Das, D., Kalia, V.C., Lee, J.K., 2020b. https://doi.org/10.1007/ s12088-020-00883-6.

Patel, S.K.S., Kalia, V.C., Joo, J.B., Kang, Y.C., Lee, J.K., 2020c. Patel, S.K.S., Shanmugam, R., Kalia, V.C., Lee, J.K., 2020d.",,,,,3.3890321254730225,,True,5.0,5.0,"The relation ""Patel is author of"" is directly stated in the source sentence as the authors are listed for each publication. The subject and object boundaries are correctly identified, as they correspond to the author's name (subject) and the list of co-authors (object).",6.93213415145874,,,,,,6.6913161277771,
0x608,Kort,is author of,"Gvakharia, A., Kort, E.A., Brandt, A., Peischl, J., Ryerson, T.B., Schwarz, J.P., Smith, M. L., Sweeney, C., 2017","Gvakharia, A., Kort, E.A., Brandt, A., Peischl, J., Ryerson, T.B., Schwarz, J.P., Smith, M. L., Sweeney, C., 2017",14,,Cross-chunk Analysis,Copy of A. Priyadarsini et al. 202320251115.pdf,"Gvakharia, A., Kort, E.A., Brandt, A., Peischl, J., Ryerson, T.B., Schwarz, J.P., Smith, M. L., Sweeney, C., 2017.",,,,,2.8885271549224854,,True,,,"The extracted relation ""is author of"" is accurately represented in the sentence as Kort is one of the authors listed in the source. The relation is directly stated, and the entity boundaries are correctly identified since both the subject and object are properly extracted from the sentence.",5.298080205917358,,,,,,5.305344104766846,
0x4e3,Patel,is author of,"Patel, S.K.S., Kalia, V.C., Lee, J.K., 2023. Integration of biogas derived from dark fermentation and anaerobic digestion of biowaste to enhance methanol production by methanotrophs.",Patel,32,,References,Copy of A. Priyadarsini et al. 202320251115.pdf,"Patel, S.K.S., Gupta, R.K., Kalia, V.C., Lee, J.K., 2021. Patel, S.K.S., Kalia, V.C., Lee, J.K., 2023.",,,,,2.9958181381225586,,False,,,"The relation ""is author of"" is not accurately represented in the sentence as there is no mention of any paper or publication being authored by Patel. The sentence only mentions the authors' names without specifying any work they are associated with.",5.387726068496704,,,,,,5.329647064208984,
0x2b5,Methane,makes up,half of n,Methane,20,,3.4. Determination of methanol yield,Copy of A. Priyadarsini et al. 202320251115.pdf,"The moles of headspace gas (equimolar mixture of air and methane) can be calculated using ideal gas equation: PV = nRT. GLYPH<0> 1 , T = 303 K, the total number of gas moles (n) in the headspace are 6.64 mmoles, half which accounts for methane. Considering the metabolic stoichiometry of 1 mol of methanol per mol of methane,  the  total  percentage  consumption  of  methane  (or  in  other words methanol yield per mole of methane) is: 2.6/3.32 = 0.783 or 78.3 %.",,,,,4.028800964355469,,True,,,"The relation is accurately represented in the sentence as it can be inferred from the context that methane makes up half of the total gas moles, given the information about the equimolar mixture and the calculation of the total number of gas moles. However, the sentence does not directly state this relation but rather implies it through calculations and context. The entity boundaries are correctly identified as ""methane"" is the subject and ""half"" is the object in the extracted relation.",8.347334861755371,,,,,,5.208066940307617,
0x407,Kort,is author of,"Gvakharia, A., Kort, E.A., Brandt, A., Peischl, J., Ryerson, T.B., Schwarz, J.P., Smith, M. L., Sweeney, C., 2017","Gvakharia, A., Kort, E.A., Brandt, A., Peischl, J., Ryerson, T.B., Schwarz, J.P., Smith, M. L., Sweeney, C., 2017",14,,References,Copy of A. Priyadarsini et al. 202320251115.pdf,"Gvakharia, A., Kort, E.A., Brandt, A., Peischl, J., Ryerson, T.B., Schwarz, J.P., Smith, M. L., Sweeney, C., 2017.",,,,,2.738919973373413,,True,,,"The extracted relation ""is author of"" is accurately represented in the sentence as Kort is one of the authors listed in the source. The relation is directly stated, and the entity boundaries are correctly identified since both the subject and object are properly extracted from the sentence.",5.252093315124512,,,,,,5.347977161407471,
0x3f,Methane,is a major greenhouse gas,GHG,Methane,20,,1. Introduction,Copy of A. Priyadarsini et al. 202320251115.pdf,"Methane  is  the  smallest  of  the  hydrocarbon  family  in  its  most reduced form, which means it is packed with potential energy. It is also a major greenhouse gas (GHG) which is also called a short-term enforcer, i.e. it persists in the atmosphere for shorter duration, as compared to carbon dioxide (CO2) that can stay in atmosphere for thousand years, but its heating effect is much more potent than that of CO2. Thus, even with a shorter lifespan, methane has 28 -34 times higher global warming potential over a period of 100 years than that of CO2  due to its higher solar  radiation  capturing  efficiency  (Priyadarsini  et  al.,  2020).",,,,,2.499372959136963,,True,5.0,5.0,"The relation ""Methane is a major greenhouse gas"" is directly stated in the source sentence. The subject and object boundaries are correctly identified as ""Methane"" and ""GHG"", respectively, which are the entities involved in the relation.",4.941147804260254,,,,,,5.374564170837402,
0x522,Methanotrophs,are sources of,Natural gas fields,Methanotrophs,15,,Cross-chunk Analysis,Copy of A. Priyadarsini et al. 202320251115.pdf,"Major  sources  of  methanotrophs  include  agricultural  rice  fields, natural gas fields, dairy and cattle industries, etc. The difference in the  rate  of  production  and  emission  can  be  explained  by  methane oxidation by the methanotrophs present in the oxic regions of the rice roots  and  rhizospheres  (Conrad  and  Rothfuss,  1991). The  conversion efficiencies  of  transported  methane  by  methanotrophs  remain  in  the range of 70 -95 % in the soil-water interface (Epp and Chanton, 1993; Gilbert  and  Frenzel,  1995). The  rice  field  rhizosphere  community comprises of type I and type II methanotrophs. In fact, no Type I methanotrophs had been isolated from rice rhizosphere, rice roots, bulk soil or floodwater and  only  their  presence  was  confirmed  using  molecular  techniques (Dianou et al., 2012; Pandit et al., 2016; Takeda et al., 2008). Several methanotrophs  with pmoA lineages  from  rice  paddy  cluster  (e.g., RPC1 -3)  have  been  detected  but  remain  uncultured  till  date  (Knief, 2015; Lüke et al., 2014). Methanol production capability of these methanotrophs is yet to be studied. Thus, rice field was chosen for this study since  they  are  a  breaming  source  of  methanotrophs  and  they  are commonly found across India.",,,,,2.850245714187622,,True,,,"The subject ""methanotrophs"" is explicitly mentioned as a source, and the object ""natural gas fields"" is listed among the major sources of methanotrophs. However, the relation is only partially supported because the sentence implies that there are multiple sources, not just natural gas fields.",8.314594984054565,,,,,,6.256389856338501,
